ID|PSET|DIALOG|PRONOUN|VERB|GENDER|SYLLABARY|PRONOUNCE|ENGLISH|AUDIO FILE
||||||ᎠᏂ|áɂni.|A strawberry. Strawberries.|
||||||ᎠᏥᎸᏍᎩ|aji:lv̋:sgi.|A flower.|
||||||ᎠᏂᏥᎸᏍᎩ|ani:ji:lv̋:sgi.|Flowers.|
||||||ᎠᏫ|ahwi.|A deer. Deer.|
||||||ᎠᏬᎭᎵ|awǒ:háɂli.|An eagle. Eagles.|
||||||ᎡᎶᏆ|e:logwa.|A snail. Snails.|
||||||ᎡᏟ|ehli.|A mink or ferret. Minks or ferrets.|
||||||ᎢᎾᎨᎢ|ǐ:náge̋:ɂi.|Wilderness.|
||||||ᎢᎾᏓ|ǐ:náda.|A snake. Snakes.|
||||||ᎢᏃᎵ|inò:li.|A badger. Badgers.|
||||||ᎣᎦᎾ|o:gana.|A groundhog. Groundhogs.|
||||||ᎤᎦᏐᏣᏁᏓ|u:ksò:ja:ne̋:da.|A goat.|
||||||ᎤᎧᏖᎾ|ukte:na.|A horned serpent. Horned serpents.|
||||||ᎤᎫᎫ|u:gù:ku.|An owl.|
||||||ᎤᎾᎦᏐᏣᏁᏓ|u:naksò:jane̋:da.|Goats.|
||||||ᎤᏤᏥᏍᏗ|u:je̋:tsdi.|An opossum.|
||||||ᎤᎾᏤᏥᏍᏗ|u:naje̋:tsdi.|Opossums|
||||||ᎤᏂᎫᎫ|u:ni:gù:ku.|Owls.|
||||||ᎤᏃᏕᎾ|u:nò:de̋:na.|A sheep.|
||||||ᎤᏂᏃᏕᎾ|u:ni:nò:de̋:na.|Sheep.|
||||||ᎤᏂᏥᏯ|u:ni:ji:ya.|Worms.|
||||||ᎤᏥᏯ|u:ji:ya.|A worm.|
||||||ᎤᏪᏥ|uwě:ji.|An egg. An offspring.|
||||||ᎧᎹᎹ|kama:ma.|A butterfly, or, an elephant. Butterflies. Elephants.|
||||||ᎧᎾᏁᏍᎩ|kanaɂně:sgi.|A spider. Spiders.|
||||||ᎧᎾᏥᏍᏕᏥ|kanajì:sdě:ji.|A wasp. Wasps.|
||||||ᎧᏄᎾ|kanu:na.|A bullfrog. Bullfrogs.|
||||||ᎧᏬᏄ|kawǒ:nu.|A duck. Ducks.|
||||||ᎨᎻᎵ|kě:míli.|A camel. Camels.|
||||||ᎩᏟ|gi:hli.|A dog. Dogs.|
||||||ᎩᏳᎦ|kiyû:ga.|A chipmunk. Chipmunks.|
||||||ᎪᎦ|kó:ga.|A crow. Crows.|
||||||ᎬᎮ|gv:he.|A bobcat. Bobcats.|
||||||ᎬᎾ|gv́:na.|A turkey. Turkeys.|
||||||ᎬᏟ|kv̌:hli.|A raccoon. Raccoons.|
||||||ᏅᏓ|nv:da.|The sun, or, the moon.|
||||||ᏌᎶᎵ|salǒ:li.|A squirrel. Squirrels|
