valid|entry|cnt_words|pronounce|syllabary|english|mco
*|ᎯᎠ|2|Hia digweji.|ᎯᎠ ᏗᏇᏥ.|These are my children.|Hiɂa digwě:ji.;Hiɂi digwě:ji.
*|ᏙᏱ|2|Doyi dagalohi.|ᏙᏱ ᏓᎦᎶᎯ.|He came from outside.|Dǒ:yi da:galó:hi.
*|ᎦᏁᎵ|2|Ganelis sdalii?|ᎦᏁᎵᏍ ᏍᏓᎵᎢ?|Is your friend married?|Gane̋:lisgo sda:li̋:ɂi?;Gane̋:lis sda:li̋:ɂi?
*|ᎪᎵᎦ|2|Gohlgas Jalagi?|ᎪᎵᎦᏍ ᏣᎳᎩ?|Does he understand Cherokee?|Gohlgasgo jalagi?;Gohlgas jalagi?
*|ᎡᎦ|2|Ina gega.|ᎢᎾ ᎨᎦ.|I am going far away.|I̋:na gé:ga.
*|ᎪᏢᏅᎢ|2|Gohlvhnv eksdela.|ᎪᏢᏅ ᎡᏍᎩᏍᏕᎳ|Pass me some butter.|Go:hlv:hnv̋:ɂi e:ksdě:la.;Go:hlv:hnv̋ e:ksdě:la.
*|ᎤᎿ|2|Uhnas tesi?|ᎤᎿᏍ ᏖᏏ?|Are you going there?|Ù:hna̋:sgo te:si?;Ù:hna̋:s te:si?
*|ᎠᏟ|2|Kilo dvtli.|ᎩᎶ ᏛᏟ.|Someone is running in this direction.|Kilő dv̀:tli.
*|ᎦᎶᏍᎦ|2|Ale nulosvi.|ᎠᎴ ᏄᎶᏒᎢ.|He almost fell.|Ale nù:lô:sv̌:ɂi.
*|ᏞᎦ|2|Ehena hlega.|ᎡᎮᎾ ᏞᎦ.|Come here a while.|E:hè:na hle̋:ga.
*|ᏩᏒᏓᏃᎢ|2|Jedolvis Wasvdanoi?|ᏤᏙᎸᎢᏍ ᏩᏒᏓᏃᎢ?|Have you been to Washington?|Jě:dô:lv̌:ɂsgo wá:sv:dáɂnő:ɂi?;Jě:dô:lv̌:ɂs wá:sv:dáɂnő:ɂi?
