ID|PSET|ALT_PRONOUNCE|PRONOUN|VERB|GENDER|SYLLABARY|PRONOUNCE|ENGLISH|INTRO NOTE|END NOTE|APP_FILE
#Chapters 1-4|||

||||||ᎣᏏᏲ; ᏏᏲ|o:síyo; Síyo|Hello.|||

||||||ᎥᎥ.; Ꭵ.|v:ʔv.; v:ʔ.|Yes.|||
||||||ᎥᏝ.; Ꮭ; Ꮭ|vhla.; hla; tla|No. Not.|||
||||||ᎰᏩ|howa|Okay.|||
||||||ᎠᏲ!|ayo!|Ouch!|||

||||||ᏙᎯ|tò:hi̋|“Peaceful. Well in health.”|||
||||||ᏙᎯᏧ?|tò:hi̋:ju?|It is well. Right?|||
||||||ᏙᎯᏍᎪ?; ᏙᎯᏍ?|tò:hi̋:sgo?; tò:hi̋:s?|Is it well?|||
||||||ᎥᎥ. ᏙᎯᏊ.; Ꭵ. ᏙᎯᏊ.|v:ʔv. tò:hi̋:gwu.; v:ʔ. tò:hi̋:gwu.|Yes, it's just well.|||
||||||ᎥᎥ. ᎣᏍᏓ.; Ꭵ. ᎣᏍᏓ.|v:ʔv. ő:sda.; v:ʔ. ő:sda.|Yes, it is good.|||
||||||ᎥᏝ ᎣᏍᏓ ᏱᎩ.; Ꮭ ᎣᏍd ᏱᎩ.; Ꮭ ᎣᏍd Ᏹg.; ᏝᎲ ᎣᏍd ᏱᎩ.|v̀:hla ő:sda yi̋gi.; hla ő:sd yi̋gi.; hla ő:sd yi̋g.; hlahv ő:sd yi̋gi.|It's not good.|||
||||||ᎥᏝ ᏙᎯ ᏱᎩ.; Ꮭ ᏙᎯ ᏱᎩ.; Ꮭ ᏙᎯ Ᏹg.; ᏝᎲ ᏙᎯ ᏱᎩ.|v̀:hla tò:hi̋ yi̋gi.; hla tò:hi̋ yi̋gi.; hla tò:hi̋ yi̋g.; hlahv tò:hi̋ yi̋gi.|It's not well.|||
||||||ᏩᏙ|wado|Thanks.|||
||||||ᎥᏍᎩᎩ?|v̀:sgigi?|Really?|||

||||||ᎪᎱᏍᏗ; ᎪᎱᏍd; ᎪᏍᏗ; ᎪᏍd|go:hű:sdi; go:hű:sd; gő:sdi; gő:sd|Something.|||

||||||ᏙᎾᏓᎪᎲᎢ|donada:go:hv:ʔi|Let's both see each other again later.|||
||||||ᏙᏓᏓᎪᎲᎢ|dodada:go:hv:ʔi|Let's all see each other again later.|||

||||||ᎤᏲᎢ ᎠᏓ; ᎤᏲ ᎠᏓ|u:yő:ʔi ada; u:yő ada|Bad wood.|||
||||||Ꮒ! ᎠᏓ|ni! a̋ʔda|Look! A young animal.|||
||||||ᎠᏴᏫ|ayv:wi|A person.|||
||||||ᏲᏁᎦ; ᏲᏁg; ᏴᏭᏁᎦ; ᏴᏭᏁg|yó:ne:ga; yó:ne:g; yv́:wúne:ga; yv́:wúne:g|English. Of the white peoples.|||
||||||ᏅᎩᏁᎢ ᎠᏴᏫ; ᏅᎩᏁ ᎠᏴᏫ|nvhgi:ne̋:ʔi ayv:wi; nvhgi:ne̋ ayv:wi|A fourth person.|||

||||||ᎢᎬᏱᎢ ᎠᏕᏠᏆᏍᏗ; ᎢᎬᏱ ᎠᏕᏠᏆᏍᏗ|igv:yi̋:ʔi à:de:hlohgwà:sdi; igv:yi̋ à:de:hlohgwà:sdi|first lesson.|||
||||||ᏔᎵ ᏗᏕᏠᏆᏍᏗ|taʔli dide:hlohgwà:sdi|two lessons.|||

||||||ᎠᏯᏙᏢᎢ; ᎠᏯᏙᏢ|aya:do:hlv̋:ʔi; aya:do:hlv̋|A portion. A chapter.|||
||||||ᎦᏬᏂᎯᏍᏗ; ᎦᏬᏂᎯᏍd|gawò:nǐ:hísdi; gawò:nǐ:hísd|Speech or language.|||

||||||ᏔᎵᏁᎢ ᎠᏫ; ᏔᎵᏁ ᎠᏫ|taʔli:ne̋:ʔi ahwi; taʔli:ne̋ ahwi|A second deer.|||
||||||ᏦᎢᏁᎢ ᏃᏥ; ᏦᎢᏁ Ꮓj|joʔi:ne̋:ʔi nohji; joʔi:ne̋ nohj|A third pine tree.|||

||||||ᏦᎢ ᏄᎾ; Ꮶ ᏄᎾ|joʔi nǔ:na; jo nǔ:na|Three potatoes.|||

||||||ᎠᎭᏂ ᎢᎦᏓ ᎠᎹ.; ᎠᏂ ᎢᎦd ᎠᎹ.|Áhani ǐ:gá:da ama.; Áhni ǐ:gá:d ama.|Here is some water.|||
||||||ᎠᎭᏂ ᎢᎦᏓ ᎠᎹ.; ᎠᏂ ᎢᎦd ᎠᎹ.|Áhani ǐ:gá:da á:ma.; Áhni ǐ:gá:d á:ma.|Here is some salt.|||

||||||ᎤᏁᎦ ᎠᏓ; ᎤᏁg ᎠᏓ|u:ne̋:ga ada; u:ne̋:g ada|White wood.|||

||||||ᏘᎪᎵᏯ.|tigo:lǐ:ya.|Read them.|||
||||||ᏔᏛᏓᏍᏓ|tatv:dà:sda|Listen to them.||Complete the lesson material through the end of chapter 4.|

#Chapter 5|||
||||||ᎯᏍᎩᏁᎢ ᎠᎨᏯ; ᎯᏍᎩᏁ ᎠᎨᏯ|hisgi:ne̋:ʔi agě:hya; hisgi:ne̋ agě:hya|A fifth woman.|||
||||||ᎦᏙ ᎤᏍᏗ ᎠᏍᎦᏯ?; ᎦᏙ ᎤᏍd ᎠᏍᎦᏯ?; Ꮩ ᎤᏍd ᎠᏍᎦᏯ?|gadō ű:sdi asgaya?; gadō ű:sd asgaya?; dō ű:sd asgaya?|Which man?|||

||||||ᎯᎳ ᎢᎦ ᏄᎾ?; ᎯᎳ ᏄᎾ?|hila̋ ǐ:ga̋ nǔ:na?; hila̋ nǔ:na?|How many potatoes?|||
||||||ᎯᎳ ᎢᏯᏂ ᎩᏟ?; ᎯᎳ ᎩᏟ?|hila̋ iyáni gi:hli?; hila̋ gi:hli?|How many dogs?|||

||||||ᎠᏎᏍᏗ.|A:sésdi.|A number.|||
||||||ᏗᏎᏍᏗ.|Di:sésdi.|Numbers.|||

||||||ᏌᏊ ᏅᏯ|sà:gwű nv̀:ya|One rock.|||
||||||ᏔᎵ ᏗᎪᏪᎵ|táʔli digo:hwe:li|Two pieces of paper.|||

||||||ᎠᏂᏔᎵ ᏪᏌ; ᎠᏂᏔꮅ ᏪᏌ|a:nitáʔli wě:sa; a:nitáʔl wě:sa|Two cats.|||
||||||ᎠᏂᏦᎢ ᎠᎭᏫ; ᎠᏂᏦ ᎠᏫ|a:nijoʔi ahawi; a:nijo ahwi|Three deer.|||
||||||ᏅᎩ ᏩᎭᏯ; Ꮕg ᏩᏯ|nvhgi wahaya; nvhg wahya|Four wolves.|||
||||||ᎯᏍᎩ ᏙᏯ; ᎯᏍg ᏙᏯ|hisgi do:ya; hisg do:ya|Five beaver.|||
||||||ᏑᏓᎵ ᏥᏍᏚ; ᏑᏓꮅ ᏥᏍᏚ|sǔ:dáli ji:sdu; sǔ:dál ji:sdu|Six rabbits.|||
||||||ᎦꮅᏉᎩ ᎠᏂᎨᏳᏣ; ᎦꮅᏉg ᎠᏂᎨᏳj|gahlgwǒ:gi ani:ge:hyű:ja; gahlgwǒ:g ani:ge:hyű:j|Seven girls.|||

||||||ᏑᏓᎵᏁᎢ ᎠᏧᏣ; ᏑᏓᎵᏁ ᎠᏧj|sǔ:dáli:ne̋:ʔi achű:ja; sǔ:dáli:ne̋ achű:j|A sixth boy.|||
||||||ᎦꮅᏉᎩᏁᎢ ᏌᎶᎵ; ᎦꮅᏉᎩᏁ ᏌᎶꮅ|gahlgwǒ:gi:ne̋:ʔi salǒ:li; gahlgwǒ:gi:ne̋ salǒ:l|A seventh squirrel.|||

||||||ᏂᏔᏛᎦ|nitadv̀:ga|Do them.|||
||||||ᏙᏪᎸᎦ|to:hwe:lv̀:ga|Write them.||Complete the lesson material through the end of chapter 5.|

#Chapter 6|||
||||||ᏌᏛᏗ ᎠᎪwᏘᎭ; ᏌᏛd ᎠᎪwᏘ|sadv́:di à:gowhtíha; sadv́:d à:gowhtí|He sees a trap.|||
||||||ᏐᏈᎵ ᎠᏂᎪwᏘᎭ; ᏐᏈꮅ ᎠᏂᎪwᏘ|sǒ:gwíli à:nigowhtíha; sǒ:gwíl à:nigowhtí|They see a horse.|||
||||||ᎩᏟ ᏓᎪwᏘᎭ ᎠᏍᎦᏯ; ᎩᏟ ᏓᎪwᏘ ᎠᏍᎦᏯ|gi:hli dà:gowhtíha asgaya; gi:hli dà:gowhtí asgaya|A man sees dogs.|||
||||||ᎠᏂᏍᎦᏯ ᏲᎾ ᏓᏂᎪwᏘᎭ; ᎠᏂᏍᎦᏯ ᏲᎾ ᏓᏂᎪwᏘ|ani:sgaya yǒ:na dà:nigowhtíha; ani:sgaya yǒ:na dà:nigowhtí|The men see bears.|||
||||||ᎩᏟ ᎠᎴ ᏪᏌ; ᎩᏟ ᎠᎴ ᏪᏍ|gi:hli ale wě:sa; gi:hli ale wě:s|A dog and or a cat.|||

||||||ᎦᏙ ᏧᏍᏗ ᏄᎾ?; ᎦᏙ ᏧᏍd Ꮔn?; Ꮩ ᏧᏍd Ꮔn?|gadō jű:sdi nǔ:na?; gadō jű:sd nǔ:n?; dō jű:sd nǔ:n?|“Which potatoes?”|||
||||||ᎦᏙ ᏧᏍᏗ ᏅᏯ?; ᎦᏙ ᏧᏍd ᏅᏯ?; Ꮩ ᏧᏍd ᏅᏯ?|gadō jű:sdi nv̀:ya?; gadō jű:sd nv̀:ya?; dō jű:sd nv̀:ya?|“Which rocks?”|||
||||||ᎦᏙ ᎤnᏍᏗ ᎠᏂᎨᏯ?; ᎦᏙ ᎤnᏍᏗ ᎠᏂᎨᏯ?; Ꮩ ᎤnᏍᏗ ᎠᏂᎨᏯ?|gadō űnsdi ani:gě:hya?; gadō űnsdi ani:gě:hya?; dō űnsdi ani:gě:hya?|“Which women?”|||
||||||ᎦᏙ ᎤnᏍᏗ ᎠᏂᏍᎦᏯ?; ᎦᏙ ᎤnᏍd ᎠᏂᏍᎦᏯ?; Ꮩ ᎤnᏍd ᎠᏂᏍᎦᏯ?|gadō űnsdi ani:sgaya?; gadō űnsd ani:sgaya?; dō űnsd ani:sgaya?|“Which men?”|||

||||||ᏗᏍᏓᏛᏓᏍᏓ|disdà:tv:dà:sda|let you two listen to them.|||
||||||ᏂᏗᏍᏓᏛᎦ|nidisdadv̀:ga|let you two do them.||Complete the lesson material through the end of chapter 6.|

#Chapter 7|||

||||||ᎩᏟ ᏥᎪwᏘᎭ; ᎩᏟ ᏥᎪwᏘ|gi:hli ji:gowhtíha; gi:hli ji:gowhtí|I see a dog.|||
||||||ᎪᏪᎵ ᏥᎪwᏘᎭ; ᎪᏪꮅ ᏥᎪwᏘ|go:hwe:li jigowhtíha; go:hwe:l jigowhtí|I see a piece of paper.|||

||||||ᏪᏌ ᎦᏥᎪwᏘᎭ; ᏪᏍ ᎦᏥᎪwᏘ|wě:sa ga:ji:gowhtíha; wě:s ga:ji:gowhtí|I see cats.|||
||||||ᎫᎴ ᏕᏥᎪwᏘᎭ; ᎫᎴ ᏕᏥᎪwᏘ|gu:le de:jigowhtíha; gu:le de:jigowhtí|I see acorns.|||

||||||ᎠᎭᏫ ᎯᎪwᏘᎭ; ᎠᏫ ᎯᎪwᏘ|ahawi hi:gowhtíha; ahwi hi:gowhtí|You see a deer.|||
||||||ᏚᏯ ᎯᎪwᏘᎭ; ᏚᏯ ᎯᎪwᏘ|tǔ:ya higowhtíha; tǔ:ya higowhtí|You see a bean.|||

||||||ᏩᎭᏯ ᎦᎯᎪwᏘᎭ; ᏩᏯ ᎦᎯᎪwᏘ|wahaya ga:hi:gowhtíha; wahya ga:hi:gowhtí|You see wolves.|||
||||||ᏗᏌᏛᏗ ᏕᎯᎪwᏘᎭ; ᏗᏌᏛd ᏕᎯᎪwᏘ|di:sadv́:di de:higowhtíha; di:sadv́:d de:higowhtí|You see traps.|||

||||||ᎠᎭᏂ ᎠᎴ ᎤᎿ; ᎠᏂ ᎠᎴ ᎤᎿ|áhani ale ù:hna̋; áhni ale ù:hna̋|Here and or there.|||
||||||ᎢᎾ ᎠᎴ ᎾᎥ|i̋:na ale naʔv|Far and or near.|||

||||||ᏗᏍᏙᏪᎸᎦ|disdo:hwe:lv̀:ga|Let you two write them.|||
||||||ᏗᏍᏗᎪᎵᏯ.|disdigo:lǐ:ya.|let you two read them.||Complete the lesson material through the end of chapter 7.|

#Chapter 8|||
||||||ᎠᏴ; ᎠᏯ|ayv; aya|“I. We.”|||
||||||ᎥᏍᎩᎾ; ᎥᏍᎩ; ᏍᎩᎾ; ᎾᏍᎩ|v̀:sgina; v̀:sgi; sgina; nà:sgi|“He. She. It. They.”|||

||||||ᎭᏢ ᎥᏍᎩᎾ; ᎭᏢ ᎥᏍᎩ; ᎭᏢ ᏍᎩᎾ; ᎭᏢ ᎾᏍᎩ|ha:dlv v̀:sgina; ha:dlv v̀:sgi; ha:dlv sgina; ha:dlv nà:sgi|Where is he? Where are they?|||

||||||ᎭᏢ Ꮎ ꮅᎬᎢ|Ha:dlv na hlʔgv̋:ʔi?|Where is the tree?|||
||||||ᎭᏢ Ꮎ ᏕꮅᎬᎢ|Ha:dlv na dě:hlʔgv̋:ʔi?|Where are the trees?|||

||||||ᎠᎨᏯ ᎯᎠ ᎠᎪwᏘᎭ; ᎠᎨᏯ ᎯᎠ ᎠᎪwᏘ; ᎠᎨᏯ ᎯᎢ ᎠᎪwᏘᎭ; ᎠᎨᏯ ᎯᎢ ᎠᎪwᏘ|agě:hya hiʔa à:gowhtíha; agě:hya hiʔa à:gowhtí; agě:hya hiʔi à:gowhtíha; agě:hya hiʔi à:gowhtí|A woman sees this.|||
# |||||||na|“The. That.”|||
||||||ᏂᎯ|nihi|“You.”|||

||||||ᏂᏗᏣᏛᎦ|nidijadv̀:ga|let you all do them.|||
||||||ᏗᏦᏪᎸᎦ|dì:jo:hwe:lv̀:ga|Let you all write them.||Complete the lesson material through the end of chapter 8.|

#Chapter 9|||
||||||ᎦᏬᏂᏍᎬᎢ ᎠkᏔᎲᎢ; ᎦᏬᏂᏍᎬ ᎠkᏔᎲ|Gawó:ni:sgv́:ʔi à:ktahv́:ʔi.; Gawó:ni:sgv́ à:ktahv.́|“Knowing how to speak.”|||

||||||ᎠᎨᏯᎲ?|agě:hyahv?|But a woman?|||
