entrytone|nounadjpluraltone|vfirstprestone|vthirdpasttone|vthirdprestone|vsecondimpertone|vthirdinftone|syllabaryb|nounadjpluralsyllf|vfirstpresh|vthirdpastsyllj|vthirdpressylll|vsecondimpersylln|vthirdinfsyllp|definitiond|id|source
á:ɂi||gá:ɂi|á:ɂi:sv̌:ɂi|á:ɂi:só:ɂi|||ᎠᎢ||ᎦᎢ|ᎠᎢᏒᎢ|ᎠᎢᏐᎢ|||he's walking|72423|ced
a:ɂi||ga:ɂi||a:ɂi:só:ɂi|||ᎠᎢ||ᎦᎢ||ᎠᎢᏐᎢ|||He is walking|99715|rrd
aɂv:sga||tsiɂvɂsga|u:ɂnv̌:ɂi|aɂv:sgó:ɂi|hiɂv:ga|u:ɂv:sdi|ᎠᎥᏍᎦ||ᏥᎥᏍᎦ|ᎤᏅᎢ|ᎠᎥᏍᎪᎢ|ᎯᎥᎦ|ᎤᎥᏍᏗ|He is placing it (a solid) on the ground|99716|rrd
aɂv:si||tsi:ɂvɂsi|u:ɂnelv̌:ɂi|aɂne:hó:ɂi|hi:ɂvɂsi|u:ɂnhdi|ᎠᎥᏏ||ᏥᎥᏏ|ᎤᏁᎸᎢ|ᎠᏁᎰᎢ|ᎯᎥᏏ|ᎤᏁᏗ|He is handing it (a solid) to him|99717|rrd
à:gâlsga||jigâlsga|ù:gâlsv̌:ɂi|à:gâlsgó:ɂi|higaɂla|u:gàlsdi|ᎠᎦᎳᏍᎦ||ᏥᎦᎳᏍᎦ|ᎤᎦᎳᏒᎢ|ᎠᎦᎵᏍᎪᎢ|ᎯᎦᎳ|ᎤᎦᎳᏍᏗ|1.  he's breaking a flexible object, 2. He's cutting a flexible object|72298|ced
à:gá:liha|||ù:gá:li:sv̌:ɂi|à:gá:li:sgó:ɂi||u:ga:lǐ:hísdi|ᎠᎦᎵᎭ|||ᎤᎦᎵᏒᎢ|ᎠᎦᎵᏍᎪᎢ||ᎤᎦᎵᎯᏍᏗ|it's (sun or moon) shining|72297|ced
aga:líha|||u:ga:lǐ:hsv̌:ɂi|aga:lǐ:hsgó:ɂi|waga:líhi|u:ga:líhisdi|ᎠᎦᎵᎭ|||ᎤᎦᎵᏒᎢ|ᎠᎦᎵᏍᎪᎢ|ᏩᎦᎵᎯ|ᎤᎦᎵᎯᏍᏗ|It (the sun) is shining|99718|rrd
agaɂli:sga||tsigaɂliɂsga|u:gaɂli:sv̌:ɂi|agaɂli:sgó:ɂi|higaɂli:ga|u:gaɂli:sdi|ᎠᎦᎵᏍᎦ||ᏥᎦᎵᏍᎦ|ᎤᎦᎵᏒᎢ|ᎠᎦᎵᏍᎪᎢ|ᎯᎦᎵᎦ|ᎤᎦᎵᏍᏗ|He is cutting it (something flexible) off|99719|rrd
a:galǔ:ga|||||||ᎠᎦᎷᎦ|||||||twister (tornado)|72299|ced
agáɂnakti|ani:gáɂnakti||||||ᎠᎦᎾᎦᏘ|ᎠᏂᎦᎾᎦᏘ||||||doctor|72301|ced
à:ganǎ:díɂa||jiganǎ:díɂa|ù:ganǎ:dv̌:ɂi|à:ganǎ:dî:sgó:ɂi|higanǎ:da|u:ganǎ:dî:sdi|ᎠᎦᎾᏗᎠ||ᏥᎦᎾᏗᎠ|ᎤᎦᎾᏛᎢ|ᎠᎦᎾᏗᏍᎪᎢ|ᎯᎦᎾᏓ|ᎤᎦᎾᏗᏍᏗ|he's licking it|72300|ced
aga:nawohisdi|||||||ᎠᎦᎾᏬᎯᏍᏗ|||||||Heater|99720|rrd
à:ga:nawo:sga|||ù:ga:nawo:sv̌:ɂi|à:ga:nawo:sgó:ɂi||u:ga:nawo:hisdi|ᎠᎦᎾᏬᏍᎦ|||ᎤᎦᎾᏬᏒᎢ|ᎠᎦᎾᏬᏍᎪᎢ||ᎤᎦᎾᏬᎯᏍᏗ|it's getting warm|72303|ced
à:ga:nawhdíha||jiga:nawò:díha, ji:ga:nawò:díha|ù:ga:nawhtanv́:ɂi|à:ga:nawhdǐ:sgóɂi|higa:nawhda, hi:ga:nawò:da|u:ga:nawhdóhdi|ᎠᎦᎾᏬᏗᎭ||ᏥᎦᎾᏬᏗᎭ, ᏥᎦᎾᏬᏗᎭ|ᎤᎦᎾᏬᏔᏅᎢ|ᎠᎦᎾᏬᏗᏍᎪᎢ|ᎯᎦᎾᏬᏓ, ᎯᎦᎾᏬᏓ|ᎤᎦᎾᏬᏙᏗ|he's warming it|72302|ced
a:gane:sdi|||||||ᎠᎦᏁᏍᏗ|||||||Button|99721|rrd
à:ga:sga|||ù:ga:hnanv́:ɂi|à:ga:sgó:ɂi||u:ganhdi|ᎠᎦᏍᎦ|||ᎤᎦᎿᏅᎢ|ᎠᎦᏍᎪᎢ||ᎤᎦᏅᏗ|it's raining|72304|ced
aksgani|||||||ᎠᎦᏍᎦᏂ|||||||left|72458|ced
aksgáni̋:da|a:ni:ksgáni̋:da||||||ᎠᎦᏍᎦᏂᏓ|ᎠᏂᎦᏍᎦᏂᏓ||||||lefthanded|72459|ced
a:gasgi|||||||ᎠᎦᏍᎩ|||||||Rain|99722|rrd
aksgvni:da|||||||ᎠᎦᏍᎬᏂᏓ|||||||His left.; Left-handedness|99723|rrd
à:ksósga||jigà:sósga|ù:ksósv̌:ɂi|à:ksósgó:ɂi|hiksò:hi|u:ksò:hisdi|ᎠᎦᏐᏍᎦ||ᏥᎦᏐᏍᎦ|ᎤᎦᏐᏒᎢ|ᎠᎦᏐᏍᎪᎢ|ᎯᎦᏐᎯ|ᎤᎦᏐᎯᏍᏗ|he's going down hill|72460|ced
