id   |definitiond                                                                                                    |nounadjpluralsyllf|sentenceenglishs                                                                                                                                                             |sentenceq                                                                                  |sentencesyllr                                                                                  |syllabaryb|vfirstpresh    |vsecondimpersylln|vthirdinfsyllp|vthirdpastsyllj|vthirdpressylll|entrytone              |nounadjpluraltone      |vfirstprestone                             |vsecondimpertone                   |vthirdinftone      |vthirdpasttone       |vthirdprestone        |source
-----|---------------------------------------------------------------------------------------------------------------|------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------|----------|---------------|-----------------|--------------|---------------|---------------|-----------------------|-----------------------|-------------------------------------------|-----------------------------------|-------------------|---------------------|----------------------|------
72423|he's walking                                                                                                   |                  |Someone <u>is walking toward</u> the building.                                                                                                                               |Didanelv didla <u>wai</u> kilo.                                                            |ᏗᏓᏁᎸ ᏗᏜ <u>ᏩᎢ</u> ᎩᎶ.                                                                          |ᎠᎢ        |ᎦᎢ             |                 |              |ᎠᎢᏒᎢ           |ᎠᎢᏐᎢ           |a3?i                   |                       |ga3?i                                      |                                   |                   |a3?i2sv23?i          |a3?i2so3?i            |ced
99715|He is walking                                                                                                  |                  |“He <u>was walking</u> in the fields.”                                                                                                                                       |[ᏧᏁᎶᏗ ᏚᏂᎩᏒᏒᎢ]                                                                              |ᎢᎾᎨ <u>ᎠᎢᏒᎩ</u>.                                                                               |ᎠᎢ        |ᎦᎢ             |-                |-             |-              |ᎠᎢᏐᎢ           |aɂi                    |                       |gaɂi                                       |                                   |                   |                     |aɂiso³ɂi              |rrd
99716|He is placing it (a solid) on the ground                                                                       |                  |                                                                                                                                                                             |                                                                                           |                                                                                               |ᎠᎥᏍᎦ      |ᏥᎥᏍᎦ           |ᎯᎥᎦ              |ᎤᎥᏍᏗ          |ᎤᏅᎢ            |ᎠᎥᏍᎪᎢ          |ạɂvsga                 |                       |tsịɂṿɂsga                                  |hịɂvga                             |uɂvsdi             |uɂnv²³ɂi             |ạɂvsgo³ɂi             |rrd
99717|He is handing it (a solid) to him                                                                              |                  |Jesus answereth, ‘That one it is to whom I, having dipped the morsel, <u>shall give it</u>;’ and having dipped the morsel, <u>he giveth [it]</u> to Judas of Simon, Iscariot.|[ᏣᏂ 13:26]                                                                                 |ᏥᏌ ᎤᏁᏨᎩ; ᎾᏍᎩ ᎨᏎᏍᏗ ᎠᎬᎭᎸᏛ <u>ᏥᏁᎸᎭ</u> ᎾᏍᎩ ᎠᏊᏅᎯ ᎨᏎᏍᏗ. ᎤᏭᏅᏃ ᎠᎬᎭᎸᏛ <u>ᎤᏁᎸᎩ</u> ᏧᏓᏏ ᎢᏍᎦᎳᏗ ᏌᏩᏂ ᎤᏪᏥ.   |ᎠᎥᏏ       |ᏥᎥᏏ            |ᎯᎥᏏ              |ᎤᏁᏗ           |ᎤᏁᎸᎢ           |ᎠᏁᎰᎢ           |ạɂvsi                  |                       |tsiɂṿɂsi                                   |hiɂṿɂsi                            |uɂnhdi             |uɂnẹlv²³ɂi           |ạɂneho³ɂi             |rrd
72298|1.  he's breaking a flexible object, 2. He's cutting a flexible object                                         |                  |The girl wants to <u>cut</u> her hair. <u>He broke</u> the string with his hands.                                                                                            |Na agehyuja ustihgv <u>ugalsdi</u> uduli. Juwoyeni gvhdi <u>ugalsv</u> asti.               |Ꮎ ᎠᎨᏳᏣ ᎤᏍᏘᎬ <u>ᎤᎦᎳᏍᏗ</u> ᎤᏚᎵ. ᏧᏬᏰᏂ ᎬᏗ <u>ᎤᎦᎳᏒ</u> ᎠᏍᏘ.                                         |ᎠᎦᎳᏍᎦ     |ᏥᎦᎳᏍᎦ          |ᎯᎦᎳ              |ᎤᎦᎳᏍᏗ         |ᎤᎦᎳᏒᎢ          |ᎠᎦᎵᏍᎪᎢ         |a1gal32sga             |                       |ji.2gal32sga                               |hi.2ga.?2la                        |u2gal1sdi          |u1gal32sv23?i        |a1gal32sgo3?i         |ced
72297|it's (sun or moon) shining                                                                                     |                  |The moon <u>shines</u> brightly if it's a full moon.                                                                                                                         |Usgosdi <u>agalisgo</u> nvda iyuhno kali nvda yigi.                                        |ᎤᏍᎪᏍᏗ <u>ᎠᎦᎵᏍᎪ</u> ᏅᏓ ᎢᏳᏃ ᎧᎵ ᏅᏓ ᏱᎩ.                                                            |ᎠᎦᎵᎭ      |-----          |-----            |ᎤᎦᎵᎯᏍᏗ        |ᎤᎦᎵᏒᎢ          |ᎠᎦᎵᏍᎪᎢ         |a1ga3li.2ha            |                       |-----                                      |-----                              |u2ga2li23hi.3sdi   |u1ga3li2sv23?i       |a1ga3li2sgo3?i        |ced
99718|It (the sun) is shining                                                                                        |                  |… and then when <u>it is shined on by the sun</u> the water is dried by the sun.                                                                                             |[ᏣᎳᎩ ᏔᎵᏁ ᏗᏂᏂᏙᎯ ᏗᏕᏲᏙᏗ]                                                                      |… ᏃᏊᎴ <u>ᎤᎦᎵᏍᎬ</u> ᎠᎧᏲᏗᏍᎪᎢ ᎠᎹ.                                                                 |ᎠᎦᎵᎭ      |-              |ᏩᎦᎵᎯ             |ᎤᎦᎵᎯᏍᏗ        |ᎤᎦᎵᏒᎢ          |ᎠᎦᎵᏍᎪᎢ         |ạgalị³ha               |                       |                                           |wạgalị³hi                          |ugalị³hịsdi        |ugalih³sv²³ɂi        |ạgalih³sgo³ɂi         |rrd
99719|He is cutting it (something flexible) off                                                                      |                  |                                                                                                                                                                             |                                                                                           |                                                                                               |ᎠᎦᎵᏍᎦ     |ᏥᎦᎵᏍᎦ          |ᎯᎦᎵᎦ             |ᎤᎦᎵᏍᏗ         |ᎤᎦᎵᏒᎢ          |ᎠᎦᎵᏍᎪᎢ         |ạgạɂlisga              |                       |tsịgạɂlịɂsga                               |hịgạɂliga                          |ugạɂlisdi          |ugạɂlisv²³ɂi         |ạgạɂlisgo³ɂi          |rrd
72299|twister (tornado)                                                                                              |                  |Some <u>twisters</u> are small and some are big.                                                                                                                             |Igada <u>agaluga</u> jusdi geso, igadahno jutana.                                          |ᎢᎦᏓ <u>ᎠᎦᎷᎦ</u> ᏧᏍᏗ ᎨᏐ, ᎢᎦᏓᏃ ᏧᏔᎾ.                                                              |ᎠᎦᎷᎦ      |               |                 |              |               |               |a2ga.2lu23ga           |                       |                                           |                                   |                   |                     |                      |ced
72301|doctor                                                                                                         |ᎠᏂᎦᎾᎦᏘ            |I was in the <u>doctor's</u> office.                                                                                                                                         |<u>Aganakti</u> uyvsdi wijiyavi.                                                           |<u>ᎠᎦᎾᎦᏘ</u> ᎤᏴᏍᏗ ᏫᏥᏯᎥᎢ.                                                                       |ᎠᎦᎾᎦᏘ     |               |                 |              |               |               |a.2ga.?3na.2kti        |a.2ni2ga.?3na.2kti     |                                           |                                   |                   |                     |                      |ced
72300|he's licking it                                                                                                |                  |Cows like <u>to lick</u> salt.                                                                                                                                               |Ama <u>uniganadisdi</u> unilvkwdi wahga.                                                   |ᎠᎹ <u>ᎤᏂᎦᎾᏗᏍᏗ</u> ᎤᏂᎸᏉᏗ ᏩᎦ.                                                                    |ᎠᎦᎾᏗᎠ     |ᏥᎦᎾᏗᎠ          |ᎯᎦᎾᏓ             |ᎤᎦᎾᏗᏍᏗ        |ᎤᎦᎾᏛᎢ          |ᎠᎦᎾᏗᏍᎪᎢ        |a1ga.2na23di.3?a       |                       |ji.2ga.2na23di.3?a                         |hi.2ga.2na23da                     |u2ga.2na23di32sdi  |u1ga.2na23dv23?i     |a1ga.2na23di32sgo3?i  |ced
99720|Heater                                                                                                         |                  |                                                                                                                                                                             |                                                                                           |                                                                                               |ᎠᎦᎾᏬᎯᏍᏗ   |               |                 |              |               |               |ạganạwọhịsdi           |                       |                                           |                                   |                   |                     |                      |rrd
72303|it's getting warm                                                                                              |                  |When it becomes summer, <u>it gets warm</u>.                                                                                                                                 |Gogi yinulstana <u>aganawosgoi</u>.                                                        |ᎪᎩ ᏱᏄᎵᏍᏔᎾ <u>ᎠᎦᎾᏬᏍᎪᎢ</u>.                                                                      |ᎠᎦᎾᏬᏍᎦ    |-----          |-----            |ᎤᎦᎾᏬᎯᏍᏗ       |ᎤᎦᎾᏬᏒᎢ         |ᎠᎦᎾᏬᏍᎪᎢ        |a1ga2na.2wo2sga        |                       |-----                                      |-----                              |u2ga2na.2wo2hi.2sdi|u1ga2na.2wo2sv23?i   |a1ga2na.2wo2sgo3?i    |ced
72302|he's warming it                                                                                                |                  |<u>He's warming</u> his feet.                                                                                                                                                |Julasihdeni <u>daganawhdiha</u>.                                                           |ᏧᎳᏏᏕᏂ <u>ᏓᎦᎾᏬᏗᎭ</u>.                                                                           |ᎠᎦᎾᏬᏗᎭ    |ᏥᎦᎾᏬᏗᎭ, ᏥᎦᎾᏬᏗᎭ |ᎯᎦᎾᏬᏓ, ᎯᎦᎾᏬᏓ     |ᎤᎦᎾᏬᏙᏗ        |ᎤᎦᎾᏬᏔᏅᎢ        |ᎠᎦᎾᏬᏗᏍᎪᎢ       |a1ga2nawh2di.3ha       |                       |ji.2ga2na.2wo1di.3ha, ji2ga2na.2wo1di.3ha  |hi.2ga2nawh2da, hi2ga2na.2wo1da    |u2ga2nawh2doh3di   |u1ga2nawh2ta.2nv3?i  |a1ga2nawh2di23sgo.3?i |ced
99721|Button                                                                                                         |                  |                                                                                                                                                                             |                                                                                           |                                                                                               |ᎠᎦᏁᏍᏗ     |               |                 |              |               |               |agạnesdi               |                       |                                           |                                   |                   |                     |                      |rrd
72304|it's raining                                                                                                   |                  |<u>It's raining</u> too much to go somewhere today.                                                                                                                          |Tsgwisdi <u>agasga</u> dlv envsdi kohi iga.                                                |ᏥᏈᏍᏗ <u>ᎠᎦᏍᎦ</u> Ꮲ ᎡᏅᏍᏗ ᎪᎯ ᎢᎦ.                                                                 |ᎠᎦᏍᎦ      |-----          |-----            |ᎤᎦᏅᏗ          |ᎤᎦᎿᏅᎢ          |ᎠᎦᏍᎪᎢ          |a1ga2sga               |                       |-----                                      |-----                              |u2ganh2di          |u1ga2hna.2nv3?i      |a1ga2sgo3?i           |ced
72458|left                                                                                                           |                  |He turned right but the others turned <u>left</u>.                                                                                                                           |Aktisi didla wudlesv anisoihno <u>aksgani</u> didla wunadlesvi.                            |ᎠᎦᏘᏏ ᏗᏜ ᏭᏞᏒ ᎠᏂᏐᎢᏃ <u>ᎠᎦᏍᎦᏂ</u> ᏗᏜ ᏭᎾᏞᏒᎢ.                                                       |ᎠᎦᏍᎦᏂ     |               |                 |              |               |               |a.2ksga.2ni            |                       |                                           |                                   |                   |                     |                      |ced
72459|lefthanded                                                                                                     |ᎠᏂᎦᏍᎦᏂᏓ           |This ball player is <u>left-handed</u>.                                                                                                                                      |Hia alasgalisgi <u>aksganida</u>.                                                          |ᎯᎠ ᎠᎳᏍᎦᎵᏍᎩ <u>ᎠᎦᏍᎦᏂᏓ</u>.                                                                      |ᎠᎦᏍᎦᏂᏓ    |               |                 |              |               |               |a.2ksga.3ni4da         |a2ni2ksga.3ni4da       |                                           |                                   |                   |                     |                      |ced
99722|Rain                                                                                                           |                  |                                                                                                                                                                             |                                                                                           |                                                                                               |ᎠᎦᏍᎩ      |               |                 |              |               |               |agạsgi                 |                       |                                           |                                   |                   |                     |                      |rrd
99723|His left.; Left-handedness                                                                                     |                  |                                                                                                                                                                             |                                                                                           |                                                                                               |ᎠᎦᏍᎬᏂᏓ    |               |                 |              |               |               |ạksgṿnida              |                       |                                           |                                   |                   |                     |                      |rrd
72460|he's going down hill                                                                                           |                  |<u>He goes down</u> a long <u>hill</u> when he goes after water.                                                                                                             |Ganvhida aksosgv <u>aksosgo</u> ama yunegisena.                                            |ᎦᏅᎯᏓ ᎠᎦᏐᏍᎬ <u>ᎠᎦᏐᏍᎪ</u> ᎠᎹ ᏳᏁᎩᏎᎾ.                                                              |ᎠᎦᏐᏍᎦ     |ᏥᎦᏐᏍᎦ          |ᎯᎦᏐᎯ             |ᎤᎦᏐᎯᏍᏗ        |ᎤᎦᏐᏒᎢ          |ᎠᎦᏐᏍᎪᎢ         |a1kso.3sga             |                       |ji.2ga1so.3sga                             |hi.2kso1hi                         |u2kso1hi.2sdi      |u1kso.3sv23?i        |a1kso.3sgo3?i         |ced
72461|downhill route                                                                                                 |ᏓᎦᏐᏍᎬᎢ            |He pushed the car <u>down-hill</u>.                                                                                                                                          |<u>Aksosgv</u> wuwasadohyv dagwalela.                                                      |<u>ᎠᎦᏐᏍᎬ</u> ᏭᏩᏌᏙᏴ ᏓᏆᎴᎳ.                                                                       |ᎠᎦᏐᏍᎬᎢ    |               |                 |              |               |               |a1kso2sgv4?i           |da1kso2sgv4?i          |                                           |                                   |                   |                     |                      |ced
99724|He is going down hill                                                                                          |                  |                                                                                                                                                                             |                                                                                           |                                                                                               |ᎠᎦᏐᏗᎭ     |ᎦᎦᏐᏗᎭ          |ᎭᎦᏐᏓ             |ᎤᎦᏐᏙᏗ         |ᎤᎦᏐᏔᏅᎢ         |ᎠᎦᏐᏗᏍᎪᎢ        |agạsoh³dịha            |                       |gagạsọɂdịha                                |hagạsoh³da                         |ugạsoh³dohdi       |ugạsoh³tạnv²³ɂi      |agạsoh³dịsgo³ɂi       |rrd
72305|a person who has been chosen                                                                                   |ᎨᎦᏑᏰᏓ             |This man is a specially <u>selected</u> speaker.                                                                                                                             |Hia asgaya ase <u>agasuyeda</u> uwonihisdii.                                               |ᎯᎠ ᎠᏍᎦᏯ ᎠᏎ <u>ᎠᎦᏑᏰᏓ</u> ᎤᏬᏂᎯᏍᏗᎢ.                                                               |ᎠᎦᏑᏰᏓ     |               |                 |              |               |               |a.2ga1su2ye4da         |ge2ga1su2ye4da         |                                           |                                   |                   |                     |                      |ced
99725|Much                                                                                                           |                  |                                                                                                                                                                             |                                                                                           |                                                                                               |ᎠᎦᏓ       |               |                 |              |               |               |ạgada                  |                       |                                           |                                   |                   |                     |                      |rrd
72295|dirty (animate)                                                                                                |ᎠᏂᎦᏓᎭᎢ            |When children play on the ground, <u>they</u> become <u>dirty</u>.                                                                                                           |Gadohi yidunanelohna diniyohli, <u>anigadaha</u> nanalsdisgoi.                             |ᎦᏙᎯ ᏱᏚᎾᏁᎶᎿ ᏗᏂᏲᏟ, <u>ᎠᏂᎦᏓᎭ</u> ᎾᎾᎵᏍᏗᏍᎪᎢ.                                                        |ᎠᎦᏓᎭᎢ     |               |                 |              |               |               |a.2ga2da2ha4?i         |a.2ni2ga2da2ha4?i      |                                           |                                   |                   |                     |                      |ced
72462|eye                                                                                                            |ᏗᎦᏔ               |He has one artificial <u>eye</u>.                                                                                                                                            |<u>Akta</u> ayelvhi akahna sagwui.                                                         |<u>ᎠᎦᏔ</u> ᎠᏰᎸᎯ ᎠᎧᎿ ᏌᏊᎢ.                                                                       |ᎠᎦᏔ       |               |                 |              |               |               |a.2kta                 |di2kta                 |                                           |                                   |                   |                     |                      |ced
99726|Eye ball                                                                                                       |                  |                                                                                                                                                                             |                                                                                           |                                                                                               |ᎠᎦᏔ       |               |                 |              |               |               |ạkta                   |                       |                                           |                                   |                   |                     |                      |rrd
72463|he knows how                                                                                                   |                  |<u>Do you know how</u> to speak Cherokee?                                                                                                                                    |<u>Hiktahas</u> Jalagi jawonihisdi?                                                        |<u>ᎯᎦᏔᎭᏍ</u> ᏣᎳᎩ ᏣᏬᏂᎯᏍᏗ?                                                                       |ᎠᎦᏔᎭ      |ᏥᎦᏔᎭ           |                 |              |               |ᎠᎦᏔᎰᎢ          |a1kta.2ha              |                       |ji.2ga1ta.2ha                              |                                   |                   |                     |a1kta.2ho3?i          |ced
99727|He is knowing it                                                                                               |                  |Truly, said <em>Christian</em>, <u>I do not know</u>.                                                                                                                        |[ᏧᏁᎶᏗ ᏚᏂᎩᏒᏒᎢ]                                                                              |ᎤᏙᎯᏳᎯᏯ, ᎤᏛᏅ ᏧᏁᎶᏗ, <u>ᎥᏝ ᏱᏥᎦᏔᎭ</u>.                                                             |ᎠᎦᏔᎭ      |ᏥᎦᏔᎭ           |-                |-             |-              |ᎠᎦᏔᎰᎢ          |ạktaha                 |                       |tsịgataha                                  |                                   |                   |                     |ạktaho³ɂi             |rrd
72464|witness                                                                                                        |ᎠᏂᎦᏔᎯ             |Who is <u>a witness</u> to what happened?                                                                                                                                    |Gago <u>aktahi</u> nulstanidolvi?                                                          |ᎦᎪ <u>ᎠᎦᏔᎯ</u> ᏄᎵᏍᏔᏂᏙᎸᎢ?                                                                       |ᎠᎦᏔᎯ      |               |                 |              |               |               |a.3kta.2hi             |a.2ni23kta.2hi         |                                           |                                   |                   |                     |                      |ced
72466|1. he's turning back 2. he's turning (his head or body)                                                        |                  |When he heard someone calling him, <u>he turned around</u>. <u>He</u> wanted to <u>turn</u> <u>back</u> before he got there.                                                 |Kilo uhyanisgv utvgana <u>uktahvsvi</u>. Winuluhjvnagwu <u>uktahvsdi</u> udulvhvi.         |ᎩᎶ ᎤᏯᏂᏍᎬ ᎤᏛᎦᎾ <u>ᎤᎦᏔᎲᏒᎢ</u>. ᏫᏄᎷᏨᎾᏊ <u>ᎤᎦᏔᎲᏍᏗ</u> ᎤᏚᎸᎲᎢ.                                       |ᎠᎦᏔᎲᎠ     |ᎦᎦᏔᎲᎠ          |ᎭᎦᏔᎲᎾ            |ᎤᎦᏔᎲᏍᏗ        |ᎤᎦᏔᎲᏒᎢ         |ᎠᎦᏔᎲᏍᎪᎢ        |a1kta.2hv3?a           |                       |ga.2ga1ta.2hv3?a                           |ha.2kta.2hv23na                    |u2kta.2hv1sdi      |u1kta.2hv3sv23?i     |a1kta.2hv3sgo3?i      |ced
99728|He is turning                                                                                                  |                  |and these things having said, <u>she turned backward</u>, and seeth Jesus standing, and she had not known that it is Jesus.                                                  |[ᏣᏂ 20:14]                                                                                 |ᎾᏍᎩᏃ ᏄᏪᏒ <u>ᎤᎦᏔᎲᏒᎩ</u>; ᎠᎴ ᎤᎪᎲᎩ ᏥᏌ ᎦᏙᎬᎩ, ᎠᎴ ᎥᏝ ᏳᏬᎵᏤ ᏥᏌ ᎨᏒᎢ.                                    |ᎠᎦᏔᎲᎠ     |ᎦᎦᏔᎲᎠ          |ᎭᎦᏔᎲᎾ            |ᎤᎦᏔᎲᏍᏗ        |ᎤᎦᏔᎲᏒᎢ         |ᎠᎦᏔᎲᏍᎪᎢ        |aktahṿɂa               |                       |gagạɂtahṿɂa                                |haktahṿna                          |uktahṿsdi          |uktahṿsv²³ɂi         |aktahṿsgo³ɂi          |rrd
72465|knowledgeable                                                                                                  |ᎠᏂᎦᏔᎿᎢ            |This man is very <u>knowledgeable</u>.                                                                                                                                       |Hia asgaya udohiyu <u>aktahnai</u>.                                                        |ᎯᎠ ᎠᏍᎦᏯ ᎤᏙᎯᏳ <u>ᎠᎦᏔᎿᎢ</u>.                                                                     |ᎠᎦᏔᎿᎢ     |               |                 |              |               |               |a.3kta.2hna.2?i        |a.2ni23kta.2hna.2?i    |                                           |                                   |                   |                     |                      |ced
72467|he's winking                                                                                                   |                  |The boy <u>is winking</u> at the girl.                                                                                                                                       |Na achuja agehyuja <u>aktasdaneha</u>.                                                     |Ꮎ ᎠᏧᏣ ᎠᎨᏳᏣ <u>ᎠᎦᏔᏍᏓᏁᎭ</u>.                                                                     |ᎠᎦᏔᏍᏗᎭ    |ᎦᎦᏔᏍᏗᎭ         |ᎭᎦᏔᏍᏓ            |ᎤᎦᏔᏍᏙᏗ        |ᎤᎦᏔᏍᏔᏅᎢ        |ᎠᎦᏔᏍᏗᏍᎪᎢ       |a1kta32sdi.2ha         |                       |ga.2ga1ta32sdi.2ha                         |ha.2kta1sda                        |u2kta1sdoh3di      |u1kta32sta.2nv23?i   |a1kta32sdi2sgo3?i     |ced
72468|he's hitting him on the eye                                                                                    |                  |<u>He hit</u> the boy <u>in the eye</u> with a rock                                                                                                                          |Nvya gvhdi <u>ukteluhnv</u> achuja.                                                        |ᏅᏯ ᎬᏗ <u>ᎤᎦᏖᎷᏅ</u> ᎠᏧᏣ.                                                                        |ᎠᎦᏖᎷᎲᏍᎦ   |ᏥᎦᏖᎷᎲᏍᎦ        |ᎯᎦᏖᎷᎲᎦ           |ᎤᎦᏖᎷᏗ         |ᎤᎦᏖᎷᏅᎢ         |ᎠᎦᏖᎷᎲᏍᎪᎢ       |a1kte2lu2hv.3sga       |                       |ji2ga1te2lu2hv.3sga                        |hi2ga1te2lu2hv1ga                  |u2kte2luh2di       |u1kte2lu2hnv23?i     |a1kte2lu2hv.2sgo3?i   |ced
99729|Lace                                                                                                           |                  |                                                                                                                                                                             |                                                                                           |                                                                                               |ᎠᎦᏖᎾ      |               |                 |              |               |               |ạgạtena                |                       |                                           |                                   |                   |                     |                      |rrd
72469|scenery                                                                                                        |                  |<u>The scenery</u> is pretty in the spring.                                                                                                                                  |Uwoduhi geso <u>aktenasdi</u> gogeyi.                                                      |ᎤᏬᏚᎯ ᎨᏐ <u>ᎠᎦᏖᎾᏍᏗ</u> ᎪᎨᏱ.                                                                     |ᎠᎦᏖᎾᏍᏗᎢ   |               |                 |              |               |               |a.2kte23na32sdi4?i     |                       |                                           |                                   |                   |                     |                      |ced
