,SYLLABARY,PRONUNCIATION,POS,DEFINITIONS,HFRANCIS LIST VERIFIED,TLW Notes
ENTRY,ᎠᎢ,aʔi,vi,He is walking.,,
,ᎦᎢ,gaʔi,,,"MJ is on pg 49 of verbs DOC
swallowing",
,-,,,,,
,ᎠᎢᏐᎢ,aʔiso³ʔi,,,,
,-,,,,,
,-,,,,,
note,"ᎢᎾᎨ <u>ᎠᎢᏒᎩ</u>.
He <u>was walking</u> in the fields.
[ᏧᏁᎶᏗ ᏚᏂᎩᏒᏒᎢ]",,,,,
,,,,,,
ENTRY,ᎠᎦᎵᎭ,ạgalị³ha,vi,It (the sun) is shining.,,
,-,,,,,
,ᎤᎦᎵᏒᎢ,ugalih³sv²³ʔi,,,,
,ᎠᎦᎵᏍᎪᎢ,ạgalih³sgo³ʔi,,,,
,ᏩᎦᎵᎯ,wạgalị³hi,,,,
,ᎤᎦᎵᎯᏍᏗ,ugalị³hịsdi,,,,
note,"… ᏃᏊᎴ <u>ᎤᎦᎵᏍᎬ</u> ᎠᎧᏲᏗᏍᎪᎢ ᎠᎹ.
… and then when <u>it is shined on by the sun</u> the water is dried by the sun.
[ᏣᎳᎩ ᏔᎵᏁ ᏗᏂᏂᏙᎯ ᏗᏕᏲᏙᏗ]",,,,,
,,,,,,
ENTRY,ᎠᎦᎵᏍᎦ,ạgạʔlisga,vt,He is cutting off something flexible.,x,
,ᏥᎦᎵᏍᎦ,tsịgạʔlịsga,,,,
,ᎤᎦᎵᏒᎢ,ugạʔlisv²³ʔi,,,,
,ᎠᎦᎵᏍᎪᎢ,ạgạʔlisgo³ʔi,,,,
,ᎯᎦᎵᎦ,hịgạʔliʔga,,,,
,ᎤᎦᎵᏍᏗ,ugạʔlisdi,,,,
,,,,,,
ENTRY,ᎠᎦᎾᏬᎯᏍᏗ,ạganạwọhịsdi,n,Heater.,,
,,,,,,
ENTRY,ᎠᎦᏁᏍᏗ,agạnesdi,n,Button.,,
,,,,,,
ENTRY,ᎠᎦᏍᎩ,agạsgi,n,Rain.,,
,,,,,,
ENTRY,ᎠᎦᏍᎬᏂᏓ,ạksgṿnida,n,"His left.;
Left-handedness.",,
,ᏥᎦᏍᎬᏂᏓ,tsịksgṿnida,,,,
,,,,,,
ENTRY,ᎠᎦᏐᏗᎭ,agạsoh³dịha,vi,He is going down hill.,x,Francis doesn't show 1st pers sing. fwiw 
,ᎦᎦᏐᏗᎭ,gagạsọʔdịha,,,,
,ᎤᎦᏐᏔᏅᎢ,ugạsoh³tạnv²³ʔi,,,,
,ᎠᎦᏐᏗᏍᎪᎢ,agạsoh³dịsgo³ʔi,,,,
,ᎭᎦᏐᏓ,hagạsoh³da,,,,
,ᎤᎦᏐᏙᏗ,ugạsoh³dohdi,,,,
,,,,,,
ENTRY,ᎠᎦᏓ,ạgada,pt,Much.,,
,,,,,,
ENTRY,ᎠᎦᏔ,ạkta,n,Eye ball.,,
,,,,,,
ENTRY,ᎠᎦᏔᎭ,ạktaha,vt,He is knowing it.,x,
,ᏥᎦᏔᎭ,tsịgataha,,,,
,-,,,,,
,ᎠᎦᏔᎰᎢ,ạktaho³ʔi,,,,
,-,,,,,
,-,,,,,
note,"ᎤᏙᎯᏳᎯᏯ, ᎤᏛᏅ ᏧᏁᎶᏗ, <u>ᎥᏝ ᏱᏥᎦᏔᎭ</u>.
Truly, said <em>Christian</em>, <u>I do not know</u>.
[ᏧᏁᎶᏗ ᏚᏂᎩᏒᏒᎢ]",,,,,
,,,,,,
ENTRY,ᎠᎦᏔᎲᎠ,aktahṿʔa,vi,He is turning.,x,???
,ᎦᎦᏔᎲᎠ,gagạtahṿʔa,,,Francis not syncoping ṿ,
,ᎤᎦᏔᎲᏒᎢ,uktahṿsv²³ʔi,,,,
,ᎠᎦᏔᎲᏍᎪᎢ,aktahṿsgo³ʔi,,,,
,ᎭᎦᏔᎲᎾ,haktahṿna,,,,
,ᎤᎦᏔᎲᏍᏗ,uktahṿsdi,,,,
note,"ᎾᏍᎩᏃ ᏄᏪᏒ <u>ᎤᎦᏔᎲᏒᎩ</u>; ᎠᎴ ᎤᎪᎲᎩ ᏥᏌ ᎦᏙᎬᎩ, ᎠᎴ ᎥᏝ ᏳᏬᎵᏤ ᏥᏌ ᎨᏒᎢ.
and these things having said, <u>she turned backward</u>, and seeth Jesus standing, and she had not known that it is Jesus.
[ᏣᏂ 20:14]",,,,,
,,,,,,
ENTRY,ᎠᎦᏖᎾ,ạgạtena,n,Lace.,,
,,,,,,
ENTRY,ᎠᎦᏘᏯ,ạktiya,vt,"He is watching for him, it.;
He is waiting for him, it.;
He is watching over him, it.",x,"HFrancis lists as ""doesn't fit"""
,ᏥᎦᏘᏯ,tsịgatiya,,,,
,ᎤᎦᏘᏛᎢ,ụktidʔv²³ʔi,,,,
,ᎠᎦᏘᏲᎢ,ạktiyo³ʔi,,,,
,ᎯᎦᏘᏗ,hịktidi,,,,
,ᎤᎦᏘᏗᏍᏗ,ụktidịsdi,,,,
note,"ᏱᎰᏩᏃ ᎯᎠ ᏄᏪᏎᎴ ᎨᏂ, ᎭᏢ ᎡᏣᏅᏟ ᎡᏈᎵ? ᎯᎠᏃ ᏄᏪᏎᎢ, Ꮭ ᏱᏥᎦᏔᎭ: ᏥᎪ ᎠᏴ ᎥᎩᏅᏟ <u>ᏥᎦᏘᏯ</u>?
And Jehovah saith unto Cain, 'Where [is] Abel thy brother?' and he saith, 'I have not known; my brother's <u>keeper -- I</u>?'
[ᎼᏏ ᎢᎬᏱᏱ 4:9]",,,,,
,,,,,,
