,SYLLABARY,PRONUNCIATION,POS,DEFINITIONS,HFRANCIS LIST VERIFIED,TLW Notes
ENTRY,ᎠᎢ,aʔi,vi,He is walking.,,
,ᎦᎢ,gaʔi,,,"MJ is on pg 49 of verbs DOC
swallowing",
,-,,,,,
,ᎠᎢᏐᎢ,aʔi:sóʔi,,,,
,-,,,,,
,-,,,,,
note,"ᎢᎾᎨ <u>ᎠᎢᏒᎩ</u>.
He <u>was walking</u> in the fields.
[ᏧᏁᎶᏗ ᏚᏂᎩᏒᏒᎢ]",,,,,
,,,,,,
ENTRY,ᎠᎦᎵᎭ,aga:líha,vi,It (the sun) is shining.,,
,-,,,,,
,ᎤᎦᎵᏒᎢ,u:ga:lǐ:hsv̌ʔi,,,,
,ᎠᎦᎵᏍᎪᎢ,aga:lǐ:hsgóʔi,,,,
,ᏩᎦᎵᎯ,waga:líhi,,,,
,ᎤᎦᎵᎯᏍᏗ,u:ga:líhisdi,,,,
note,"… ᏃᏊᎴ <u>ᎤᎦᎵᏍᎬ</u> ᎠᎧᏲᏗᏍᎪᎢ ᎠᎹ.
… and then when <u>it is shined on by the sun</u> the water is dried by the sun.
[ᏣᎳᎩ ᏔᎵᏁ ᏗᏂᏂᏙᎯ ᏗᏕᏲᏙᏗ]",,,,,
,,,,,,
ENTRY,ᎠᎦᎵᏍᎦ,agaʔli:sga,vt,He is cutting off something flexible.,x,
,ᏥᎦᎵᏍᎦ,jigaʔlisga,,,,
,ᎤᎦᎵᏒᎢ,u:gaʔli:sv̌ʔi,,,,
,ᎠᎦᎵᏍᎪᎢ,agaʔli:sgóʔi,,,,
,ᎯᎦᎵᎦ,higaʔliʔga,,,,
,ᎤᎦᎵᏍᏗ,u:gaʔli:sdi,,,,
,,,,,,
ENTRY,ᎠᎦᎾᏬᎯᏍᏗ,aga:nawohisdi,n,Heater.,,
,,,,,,
ENTRY,ᎠᎦᏁᏍᏗ,a:gane:sdi,n,Button.,,
,,,,,,
ENTRY,ᎠᎦᏍᎩ,a:gasgi,n,Rain.,,
,,,,,,
ENTRY,ᎠᎦᏍᎬᏂᏓ,aksgvni:da,n,"His left.;
Left-handedness.",,
,ᏥᎦᏍᎬᏂᏓ,*jiksgvni:da,,,,
,,,,,,
ENTRY,ᎠᎦᏐᏗᎭ,a:gasǒ:hdiha,vi,He is going down hill.,x,Francis doesn't show 1st pers sing. fwiw 
,ᎦᎦᏐᏗᎭ,ga:gasoʔdiha,,,,
,ᎤᎦᏐᏔᏅᎢ,u:gasǒ:htanv̌ʔi,,,,
,ᎠᎦᏐᏗᏍᎪᎢ,a:gasǒ:hdisgóʔi,,,,
,ᎭᎦᏐᏓ,ha:gasǒ:hda,,,,
,ᎤᎦᏐᏙᏗ,u:gasǒ:hdo:hdi,,,,
,,,,,,
ENTRY,ᎠᎦᏓ,aga:da,pt,Much.,,
,,,,,,
ENTRY,ᎠᎦᏔ,akta,n,Eye ball.,,
,,,,,,
ENTRY,ᎠᎦᏔᎭ,akta:ha,vt,He is knowing it.,x,
,ᏥᎦᏔᎭ,jiga:ta:ha,,,,
,-,,,,,
,ᎠᎦᏔᎰᎢ,akta:hóʔi,,,,
,-,,,,,
,-,,,,,
note,"ᎤᏙᎯᏳᎯᏯ, ᎤᏛᏅ ᏧᏁᎶᏗ, <u>ᎥᏝ ᏱᏥᎦᏔᎭ</u>.
Truly, said <em>Christian</em>, <u>I do not know</u>.
[ᏧᏁᎶᏗ ᏚᏂᎩᏒᏒᎢ]",,,,,
,,,,,,
ENTRY,ᎠᎦᏔᎲᎠ,a:kta:hvʔa,vi,He is turning.,x,???
,ᎦᎦᏔᎲᎠ,ga:gata:hvʔa,,,Francis not syncoping ṿ,
,ᎤᎦᏔᎲᏒᎢ,u:kta:hvsv̌ʔi,,,,
,ᎠᎦᏔᎲᏍᎪᎢ,a:kta:hvsgóʔi,,,,
,ᎭᎦᏔᎲᎾ,ha:kta:hvna,,,,
,ᎤᎦᏔᎲᏍᏗ,u:kta:hvsdi,,,,
note,"ᎾᏍᎩᏃ ᏄᏪᏒ <u>ᎤᎦᏔᎲᏒᎩ</u>; ᎠᎴ ᎤᎪᎲᎩ ᏥᏌ ᎦᏙᎬᎩ, ᎠᎴ ᎥᏝ ᏳᏬᎵᏤ ᏥᏌ ᎨᏒᎢ.
and these things having said, <u>she turned backward</u>, and seeth Jesus standing, and she had not known that it is Jesus.
[ᏣᏂ 20:14]",,,,,
,,,,,,
ENTRY,ᎠᎦᏖᎾ,agate:na,n,Lace.,,
,,,,,,
ENTRY,ᎠᎦᏘᏯ,akti:ya,vt,"He is watching for him, it.;
He is waiting for him, it.;
He is watching over him, it.",x,"HFrancis lists as ""doesn't fit"""
,ᏥᎦᏘᏯ,jiga:ti:ya,,,,
,ᎤᎦᏘᏛᎢ,ukti:dʔv̌ʔi,,,,
,ᎠᎦᏘᏲᎢ,akti:yóʔi,,,,
,ᎯᎦᏘᏗ,hikti:di,,,,
,ᎤᎦᏘᏗᏍᏗ,ukti:disdi,,,,
