NEEDS_FIXING,PRONOUNCE,SYLLABARY
,a:lí:sa:gwe:t ale énto:n gv̀:gwadu:lí,ᎠᎵᏌᏇᏘ ᎠᎴ ᎡᏂᏙᏂ ᎬᏆᏚᎵ
,a:lí:sa:gwe:t dě:jádó,ᎠᎵᏌᏇᏘ ᏕᏣᏙ
,"a:lí:sa:gwe:t, dv:sgini:go:hi, énto:n ale ayv.","ᎠᎵᏌᏇᏘ, ᏛᏍᎩᏂᎪᎯ, ᎡᏂᏙᏂ ᎠᎴ ᎠᏴ."
,a:lí:sa:gwe:ti ale énto:ni gv̀:gwadu:líha,ᎠᎵᏌᏇᏘ ᎠᎴ ᎡᏂᏙᏂ ᎬᏆᏚᎵᎭ
,"a:lí:sa:gwe:ti, dv:sgini:go:hi, énto:ni ale ayv.","ᎠᎵᏌᏇᏘ, ᏛᏍᎩᏂᎪᎯ, ᎡᏂᏙᏂ ᎠᎴ ᎠᏴ."
,a:niji:sd,ᎠᏂᏥᏍᏚ
,a:nitáʔl iyáni ani:ge:hyű:j,ᎠᏂᏔᎵ ᎢᏯᏂ ᎠᏂᎨᏳᏣ
,a:nő:sd ani:jalag,ᎠᏃᏍᏓ ᎠᏂᏣᎳᎩ
,"a:sé:hno, ji:sd ga:ji:ya:du:lí.","ᎠᏎᏃ, ᏥᏍᏚ ᎦᏥᏯᏚᎵ."
,"a:sé:hnv, ji:sd ga:ji:ya:du:lí.","ᎠᏎᏅ, ᏥᏍᏚ ᎦᏥᏯᏚᎵ."
,achű:ja hla yagigowhtíha,ᎠᏧᏣ Ꮭ ᏯᎩᎪᏩᏘᎭ
,achű:ja hla yagigowhtíha.,ᎠᏧᏣ Ꮭ ᏯᎩᎪᏩᏘᎭ.
,age:hyű ale a:nijo yǒ:n,ᎠᎨᏳ ᎠᎴ ᎠᏂᏦ ᏲᎾ
,age:hyű:ja agigowhtíha,ᎠᎨᏳᏣ ᎠᎩᎪᏩᏘᎭ
,age:hyű:ja agigowhtíha.,ᎠᎨᏳᏣ ᎠᎩᎪᏩᏘᎭ.
,agigowhtíha na age:hyű:ja.,ᎠᎩᎪᏩᏘᎭ Ꮎ ᎠᎨᏳᏣ.
,agě:hya hiʔa à:gowhtí,ᎠᎨᏯ ᎯᎠ ᎠᎪᏩᏘ
,agě:hya hiʔa à:gowhtíha,ᎠᎨᏯ ᎯᎠ ᎠᎪᏩᏘᎭ
,agě:hya hiʔi à:gowhtí,ᎠᎨᏯ ᎯᎢ ᎠᎪᏩᏘ
,agě:hya hiʔi à:gowhtíha,ᎠᎨᏯ ᎯᎢ ᎠᎪᏩᏘᎭ
,ahawi hi:gowhtíha,ᎠᎭᏫ ᎯᎪᏩᏘᎭ
,ahwi hi:gowhtí,ᎠᏫ ᎯᎪᏩᏘ
,ajalag,ᎠᏣᎳᎩ
,ajalag wě:s gè:sé.,ᎠᏣᎳᎩ ᏪᏌ ᎨᏎ.
,aji:sd,ᎠᏥᏍᏚ
,ani:chű:j ge:jagowhtí,ᎠᏂᏧᏣ ᎨᏣᎪᏩᏘ
,ani:chű:j ge:jagowhtí.,ᎠᏂᏧᏣ ᎨᏣᎪᏩᏘ.
,ani:chű:j.,ᎠᏂᏧᏣ.
,ani:chű:ja ge:jagowhtíha,ᎠᏂᏧᏣ ᎨᏣᎪᏩᏘᎭ
,ani:chű:ja ge:jagowhtíha.,ᎠᏂᏧᏣ ᎨᏣᎪᏩᏘᎭ.
,ani:sgaya yǒ:na dà:nigowhtí,ᎠᏂᏍᎦᏯ ᏲᎾ ᏓᏂᎪᏩᏘ
,ani:sgaya yǒ:na dà:nigowhtíha,ᎠᏂᏍᎦᏯ ᏲᎾ ᏓᏂᎪᏩᏘᎭ
,ani:yv:wi ù:hna yigè:sé:sd,ᎠᏂᏴᏫ ᎤᎿ ᏱᎨᏎᏍᏓ
,asgaya hla na yà:gowhtí ayv áhni,ᎠᏍᎦᏯ Ꮭ Ꮎ ᏯᎪᏩᏘ ᎠᏴ ᎠᏂ
,ayó:ne:g,ᎠᏲᏁᎦ
,de:higowhtíha,ᏕᎯᎪᏩᏘᎭ
,di:sadv́:d de:higowhtí,ᏗᏌᏛᏗ ᏕᎯᎪᏩᏘ
,di:sadv́:d dǔ:ha,ᏗᏌᏛᏗ ᏚᎭ
,di:sadv́:d dǔ:ha.,ᏗᏌᏛᏗ ᏚᎭ.
,di:sadv́:di de:higowhtíha,ᏗᏌᏛᏗ ᏕᎯᎪᏩᏘᎭ
,dluhgv̋ jigowhtí,ᏡᎬ ᏥᎪᏩᏘ
,dluhgv̋:ʔi jigowhtíha,ᏡᎬᎢ ᏥᎪᏩᏘᎭ
,do:y,ᏙᏯ
,"dv:ʔì:sgi:go:hi, niga̋:d ayv.","ᏛᎢᏍᎩᎪᎯ, ᏂᎦᏓ ᎠᏴ."
,dà:giká ji:sd.,ᏓᎩᎧ ᏥᏍᏚ.
,dà:gwadó énto:ni,ᏓᏆᏙ ᎡᏂᏙᏂ
,dé:wid ji:sd,ᏕᏫᏗ ᏥᏍᏚ
,dé:wid ji:sd dà:gwadó,ᏕᏫᏗ ᏥᏍᏚ ᏓᏆᏙ
,dé:wid! yv:wi áhni!,ᏕᏫᏗ! ᏴᏫ ᎠᏂ!
,"dé:wid, chá:li, ale já:n dè:jádó","ᏕᏫᏗ, ᏣᎵ, ᎠᎴ ᏣᏂ ᏕᏣᏙ"
,"dò:gadó má:gaye:t, mé:l, ale gwa:gwa","ᏙᎦᏙ ᎹᎦᏰᏘ, ᎺᎵ, ᎠᎴ ᏆᏆ"
,dò:gi:nadó lí:nid ale ma:gá:l,ᏙᎩᎾᏙ ᎵᏂᏓ ᎠᎴ ᎹᎦᎵ
,dù:nǐ:ha na nǔ:n.,ᏚᏂᎭ Ꮎ ᏄᎾ.
,dě:dluhgv̋ dà:nigowhtí,ᏕᏡᎬ ᏓᏂᎪᏩᏘ
,dě:dluhgv̋:ʔi dà:nigowhtíha,ᏕᏡᎬᎢ ᏓᏂᎪᏩᏘᎭ
,dě:hluʔgv̋ dà:nigowhtí,ᏕᏡᎬ ᏓᏂᎪᏩᏘ
,dě:hluʔgv̋:ʔi dà:nigowhtíha,ᏕᏡᎬᎢ ᏓᏂᎪᏩᏘᎭ
,dě:hlʔgv̋ dà:nigowhtí,ᏕꮅᎬ ᏓᏂᎪᏩᏘ
,dě:hlʔgv̋:ʔi dà:nigowhtíha,ᏕꮅᎬᎢ ᏓᏂᎪᏩᏘᎭ
,dě:jádó:ʔas dé:wid ji:sd?,ᏕᏣᏙᎠᏍ ᏕᏫᏗ ᏥᏍᏚ?
,dě:jádós dé:wid ji:sd?,ᏕᏣᏙᏍ ᏕᏫᏗ ᏥᏍᏚ?
,dō jű:sd nv̀:ya?,Ꮩ ᏧᏍᏗ ᏅᏯ?
,dō jű:sd nǔ:n?,Ꮩ ᏧᏍᏗ ᏄᎾ?
,dō u:sd julsǔ:hwid na nǔ:n?,Ꮩ ᎤᏍᏗ ᏧꮅᏑᏫᏓ Ꮎ ᏄᎾ?
,dō u:sd u:nalsǔ:hwid na ji:sd?,Ꮩ ᎤᏍᏗ ᎤᎾꮅᏑᏫᏓ Ꮎ ᏥᏍᏚ?
,dō u:sd ulsǔ:hwid na gi:hli?,Ꮩ ᎤᏍᏗ ᎤᎵᏑᏫᏓ Ꮎ ᎩᏟ?
,dō u:sd áhni?,Ꮩ ᎤᏍᏗ ᎠᏂ?
,dō u:sdi higowhtí?,Ꮩ ᎤᏍᏗ ᎯᎪᏩᏘ?
,dō à:dv́:ne achű:j?,Ꮩ ᎠᏛᏁ ᎠᏧᏣ?
,dō à:dv́:ne age:hyű:j?,Ꮩ ᎠᏛᏁ ᎠᎨᏳᏣ?
,dō à:na:dv́:ne ani:chű:j?,Ꮩ ᎠᎾᏛᏁ ᎠᏂᏧᏣ?
,dō ű:sd asgaya?,Ꮩ ᎤᏍᏗ ᎠᏍᎦᏯ?
,dō űnsd ani:sgaya?,Ꮩ ᎤᎾᏍᏗ ᎠᏂᏍᎦᏯ?
,dō űnsdi ani:gě:hya?,Ꮩ ᎤᎾᏍᏗ ᎠᏂᎨᏯ?
,dō űnsdi?,Ꮩ ᎤᎾᏍᏗ?
,dǔ:ha na di:sadv́:d.,ᏚᎭ Ꮎ ᏗᏌᏛᏗ.
,ga:sgilo jigowhtí,ᎦᏍᎩᎶ ᏥᎪᏩᏘ
,ga:sgilo jigowhtíha,ᎦᏍᎩᎶ ᏥᎪᏩᏘᎭ
