NEEDS_FIXING,PRONOUNCE,SYLLABARY
,a:dǐ:tā,ᎠᏗᏔ
,a:gwe:hlu:sdi à:giná.,ᎠᏇᏡᏍᏗ ᎠᎩᎾ.
,a:gwe:hlu:sdi à:gináʔa.,ᎠᏇᏡᏍᏗ ᎠᎩᎾᎠ.
,a:gwe:hlu:sdi.,ᎠᏇᏡᏍᏗ.
,a:gwe:lu:sdi.,ᎠᏇᎷᏍᏗ.
,a:ji:ni.,ᎠᏥᏂ.
,a:liʔi,ᎠᎵᎢ
*,a:lí:sa:gwe:t ale énto:n gv̀:gwadu:lí,ᎠᎵᏌᏇt ᎠᎴ ᎡnᏙn ᎬᏆᏚᎵ
*,a:lí:sa:gwe:t dě:jádó,ᎠᎵᏌᏇt ᏕᏣᏙ
*,"a:lí:sa:gwe:t, dv:sgini:go:hi, énto:n ale ayv.","ᎠᎵᏌᏇt, ᏛᏍᎩᏂᎪᎯ, ᎡnᏙn ᎠᎴ ᎠᏴ."
*,a:lí:sa:gwe:ti ale énto:ni gv̀:gwadu:líha,ᎠᎵᏌᏇᏘ ᎠᎴ ᎡnᏙᏂ ᎬᏆᏚᎵᎭ
,a:lí:sa:gwe:ti dě:jádó:ʔa,ᎠᎵᏌᏇᏘ ᏕᏣᏙᎠ
*,"a:lí:sa:gwe:ti, dv:sgini:go:hi, énto:ni ale ayv.","ᎠᎵᏌᏇᏘ, ᏛᏍᎩᏂᎪᎯ, ᎡnᏙᏂ ᎠᎴ ᎠᏴ."
,a:ni:gi:hli,ᎠᏂᎩᏟ
,a:ni:ʔahwi,ᎠᏂᎠᏫ
*,a:niji:sd,ᎠᏂᏥᏍd
,a:niji:sdu,ᎠᏂᏥᏍᏚ
,a:nijo ahwi,ᎠᏂᏦ ᎠᏫ
,a:nijoʔi ahawi,ᎠᏂᏦᎢ ᎠᎭᏫ
*,a:nitáʔl iyáni ani:ge:hyű:j,ᎠᏂᏔꮅ ᎢᏯᏂ ᎠᏂᎨᏳj
,a:nitáʔl wě:sa,ᎠᏂᏔꮅ ᏪᏌ
,a:nitáʔli iyáni ani:ge:hyű:ja,ᎠᏂᏔᎵ ᎢᏯᏂ ᎠᏂᎨᏳᏣ
,a:nitáʔli wě:sa,ᎠᏂᏔᎵ ᏪᏌ
,a:niwahaya,ᎠᏂᏩᎭᏯ
,a:niwahya,ᎠᏂᏩᏯ
,a:niwě:s,ᎠᏂᏪᏍ
,a:niwě:sa,ᎠᏂᏪᏌ
,a:niʔahawi,ᎠᏂᎠᎭᏫ
*,a:nő:sd ani:jalag,ᎠᏃᏍd ᎠᏂᏣᎳg
,a:nő:sda ani:jalagi,ᎠᏃᏍᏓ ᎠᏂᏣᎳᎩ
*,"a:sé:hno, ji:sd ga:ji:ya:du:lí.","ᎠᏎᏃ, ᏥᏍd ᎦᏥᏯᏚᎵ."
,"a:sé:hno, ji:sdu ga:ji:ya:du:líha.","ᎠᏎᏃ, ᏥᏍᏚ ᎦᏥᏯᏚᎵᎭ."
*,"a:sé:hnv, ji:sd ga:ji:ya:du:lí.","ᎠᏎᏅ, ᏥᏍd ᎦᏥᏯᏚᎵ."
,a:sésdi.,ᎠᏎᏍᏗ.
*,achű:j.,ᎠᏧj.
*,achű:ja hla yagigowhtíha,ᎠᏧᏣ Ꮭ ᏯᎩᎪwᏘᎭ
*,achű:ja hla yagigowhtíha.,ᎠᏧᏣ Ꮭ ᏯᎩᎪwᏘᎭ.
,achű:ja.,ᎠᏧᏣ.
,achű:ji.,ᎠᏧᏥ.
,adaha:lige̋ ahwi,ᎠᏓᎭᎵᎨ ᎠᏫ
,adaha:lige̋:ʔi ahawi,ᎠᏓᎭᎵᎨᎢ ᎠᎭᏫ
,adalǒ:níge̋ ahwi,ᎠᏓᎶᏂᎨ ᎠᏫ
,adalǒ:níge̋:ʔi ahawi,ᎠᏓᎶᏂᎨᎢ ᎠᎭᏫ
,adiha,ᎠᏗᎭ
,adā,ᎠᏓ
,adǎ:hne.,ᎠᏓᏁ.
,adǎ:hnehdi à:gwadu:lí.,ᎠᏓᏁᏗ ᎠᏆᏚᎵ.
,adǎ:hnehdi à:gwadu:líʔa.,ᎠᏓᏁᏗ ᎠᏆᏚᎵᎠ.
,adǎ:hnehdi à:kiwásga.,ᎠᏓᏁᏗ ᎠᎩᏩᏍᎦ.
,adǎ:hnehdi à:wadu:lí.,ᎠᏓᏁᏗ ᎠᏩᏚᎵ.
,adǎ:hnehdi à:wadu:líʔa.,ᎠᏓᏁᏗ ᎠᏩᏚᎵᎠ.
,adǎ:hnehdi.,ᎠᏓᏁᏗ.
,adǎ:wé:hi.,ᎠᏓᏪᎯ.
,agayv̋:li.,ᎠᎦᏴᎵ.
,agayv̌:lí.,ᎠᎦᏴᎵ.
,agayv̌:líge̋.,ᎠᎦᏴᎵᎨ.
,agayv̌:líge̋:ʔi.,ᎠᎦᏴᎵᎨᎢ.
*,age:hyű ale a:nijo yǒ:n,ᎠᎨᏳ ᎠᎴ ᎠᏂᏦ Ᏺn
*,age:hyű:j.,ᎠᎨᏳj.
*,age:hyű:ja agigowhtíha,ᎠᎨᏳᏣ ᎠᎩᎪwᏘᎭ
*,age:hyű:ja agigowhtíha.,ᎠᎨᏳᏣ ᎠᎩᎪwᏘᎭ.
,age:hyű:ja ale a:nijoʔi yǒ:na,ᎠᎨᏳᏣ ᎠᎴ ᎠᏂᏦᎢ ᏲᎾ
,"age:hyű:ja, gadō ű:sdi jadu:lí?","ᎠᎨᏳᏣ, ᎦᏙ ᎤᏍᏗ ᏣᏚᎵ?"
,"age:hyű:ja, gadō ű:sdi?","ᎠᎨᏳᏣ, ᎦᏙ ᎤᏍᏗ?"
,age:hyű:ja.,ᎠᎨᏳᏣ.
,agi:hli,ᎠᎩᏟ
,agido:da,ᎠᎩᏙᏓ
*,agigowhtíha na age:hyű:ja.,ᎠᎩᎪwᏘᎭ Ꮎ ᎠᎨᏳᏣ.
,agiji,ᎠᎩᏥ
,agili:s,ᎠᎩᎵᏍ
,agili:s wě:s gè:sé,ᎠᎩᎵᏍ ᏪᏍ ᎨᏎ
,agili:si,ᎠᎩᎵᏏ
,agiyő à:gwadu:lí,ᎠᎩᏲ ᎠᏆᏚᎵ
,agiyő à:gwadu:líha. jayős jadu:lí?,ᎠᎩᏲ ᎠᏆᏚᎵᎭ. ᏣᏲᏍ ᏣᏚᎵ?
*,agowhtǐ:sgó,ᎠᎪwᏘᏍᎪ
*,agowhtǐ:sgóʔi,ᎠᎪwᏘᏍᎪᎢ
,agv̌:hnáge̋ gi:hli,ᎠᎬᎿᎨ ᎩᏟ
,agv̌:hnáge̋.,ᎠᎬᎿᎨ.
,agv̌:hnáge̋:ʔi gi:hli,ᎠᎬᎿᎨᎢ ᎩᏟ
,agv̌:hnáge̋:ʔi.,ᎠᎬᎿᎨᎢ.
,agv̌:níge̋ gi:hli,ᎠᎬᏂᎨ ᎩᏟ
*,agv̌:níge̋ kama:m à:lsdâ:yv:hv́sga.,ᎠᎬᏂᎨ ᎧᎹm ᎠꮅᏍᏓᏴᎲᏍᎦ.
,agv̌:níge̋:ʔi gi:hli,ᎠᎬᏂᎨᎢ ᎩᏟ
,agv̌:níge̋:ʔi kama:ma à:lsdâ:yv:hv́sga.,ᎠᎬᏂᎨᎢ ᎧᎹᎹ ᎠꮅᏍᏓᏴᎲᏍᎦ.
,agò:wahtā,ᎠᎪᏩᏔ
,agě.,ᎠᎨ.
*,agě:hya hiʔa à:gowhtí,ᎠᎨᏯ ᎯᎠ ᎠᎪwᏘ
*,agě:hya hiʔa à:gowhtíha,ᎠᎨᏯ ᎯᎠ ᎠᎪwᏘᎭ
*,agě:hya hiʔi à:gowhtí,ᎠᎨᏯ ᎯᎢ ᎠᎪwᏘ
*,agě:hya hiʔi à:gowhtíha,ᎠᎨᏯ ᎯᎢ ᎠᎪwᏘᎭ
