ID|PSET|DIALOG|PRONOUN|VERB|GENDER|SYLLABARY|PRONOUNCE|ENGLISH|AUDIO FILE
0130|70||||female||gado hadisgo hia|How do you say this?|mp3/0132-Chapter_3-3.1-3.1.1-000000.mp3
0131|71||||female||hiahno|This is a...|mp3/0133-Chapter_3-3.1-3.1.10-000000.mp3
0132|72||||female||hiinahv|What about this?|mp3/0134-Chapter_3-3.1-3.1.2-000122.mp3
0133|73||||female||sigwu jinihiwi|Say it again.|mp3/0135-Chapter_3-3.1-3.1.3-000262.mp3
0134|74||||female||gado hada|How would you say... ?|mp3/0136-Chapter_3-3.1-3.1.4-000000.mp3
0135|75||||female||gajanulige hniwi|Say it faster.|mp3/0137-Chapter_3-3.1-3.1.5-000482.mp3
0136|76||||female||gado uyelv hia|What does this mean?|mp3/0138-Chapter_3-3.1-3.1.6-000282.mp3
0137|76||||female||gado usdi|What is it?|mp3/0139-Chapter_3-3.1-3.1.7-000352.mp3
0138|77||||female||usganolige hniwi|Say it slower.|mp3/0140-Chapter_3-3.1-3.1.8-000512.mp3
0139|78||||female||dogi|What again?|mp3/0141-Chapter_3-3.1-3.1.9-000142.mp3
#0140|79||||female||osiyo|Hello.|mp3/0142-Chapter_3-3.2-3.2.1-000452.mp3
#*0141|79||||female||siyo|Hello.|mp3/0143-Chapter_3-3.2-3.2.1-002372.mp3
0142|80||||female||hadlv disdegvi|Where are you two from?|mp3/0144-Chapter_3-3.2-3.2.10-000000.mp3
0143|80||||female||digegvi|...is where I am from|mp3/0145-Chapter_3-3.2-3.2.11-000000.mp3
0144|81||||female||hila yijadetiyvda|How old are you?|mp3/0146-Chapter_3-3.2-3.2.12-000000.mp3
0145|81||||female||iyagwadetiyvda|years I am old.|mp3/0147-Chapter_3-3.2-3.2.13-000262.mp3
0146|82||||female||hadlv hinela|Where do you live?|mp3/0148-Chapter_3-3.2-3.2.14-000000.mp3
0147|82||||female||jinela|...is where I live.|mp3/0149-Chapter_3-3.2-3.2.15-000000.mp3
0148|83||||female||donadagohvi|Let both you and me see each other again.|mp3/0150-Chapter_3-3.2-3.2.16-000000.mp3
0149|83||||female||dodadagohvi|Let us all see each other again.|mp3/0151-Chapter_3-3.2-3.2.17-000000.mp3
0150|83||||female||taline donadagohvi|I will see you next time.|mp3/0152-Chapter_3-3.2-3.2.18-000000.mp3
0151|84||||female||howagwu|Let it be true.|mp3/0153-Chapter_3-3.2-3.2.19-000000.mp3
0152|85||||female||tohiju|Things are peaceful, aren't they?|mp3/0154-Chapter_3-3.2-3.2.2-000000.mp3
0153a|86||||female||osiju|It is well, isn't it?|mp3/0155-Chapter_3-3.2-3.2.2-002122.mp3
0153b|86||||female||osiju nijadvhnadega|You are doing well, aren't you?|mp3/0155-Chapter_3-3.2-3.2.2-002122.mp3
0154|87||||female||howa|True. OK.|mp3/0156-Chapter_3-3.2-3.2.20-000212.mp3
0155|87||||female||hawa|OK. Alright.|mp3/0157-Chapter_3-3.2-3.2.21-000192.mp3
0156|88||||female||osda nagwadvhnadega|I am doing well.|mp3/0158-Chapter_3-3.2-3.2.3-000812.mp3
0157|89||||female||gado dejadoa|What is your name?|mp3/0159-Chapter_3-3.2-3.2.4-000242.mp3
0158|89||||female||dagwadoa|... is my name.|mp3/0160-Chapter_3-3.2-3.2.5-000652.mp3
0159|90||||female||osda|Good.|mp3/0161-Chapter_3-3.2-3.2.6-000000.mp3
0160|90||||female||osigwu|Well. Just fine.|mp3/0162-Chapter_3-3.2-3.2.7-000000.mp3
0161|91||||female||hadlv tegvi|Where are you from?|mp3/0163-Chapter_3-3.2-3.2.8-000222.mp3
0162|91||||female||hadlv dijegvi|Where are you all from?|mp3/0164-Chapter_3-3.2-3.2.9-000000.mp3
0163|92||||female||gado usdi idinohe kohi iga|What are we all talking about today?|mp3/0165-Chapter_3-3.3-3.3.1-000000.mp3
0164|93||||female||hia ijigoliya|Let you all read this.|mp3/0166-Chapter_3-3.3-3.3.10-000132.mp3
0165|94||||female||gado usdi adi hia|What does this say?|mp3/0167-Chapter_3-3.3-3.3.11-000122.mp3
0166|95||||female||osda nijadvga|You did well, just now.|mp3/0169-Chapter_3-3.3-3.3.13-000402.mp3
0167|96||||female||ahidaju gohlisdi|Is it easy to understand?|mp3/0170-Chapter_3-3.3-3.3.14-000000.mp3
0168|97||||female||ijohlgaju|You all understand, don't y'all?|mp3/0171-Chapter_3-3.3-3.3.15-000000.mp3
0169|98||||female||gado usdi ijanhta|What do you all know?|mp3/0172-Chapter_3-3.3-3.3.16-000182.mp3
0170|99||||female||ase gohusdi gvyatvtdi|I have to ask you something.|mp3/0173-Chapter_3-3.3-3.3.2-000000.mp3
0171|100||||female||eligwus yigvyatvdvhvga|Can I ask you?|mp3/0174-Chapter_3-3.3-3.3.3-000000.mp3
0172|101||||female||ahani|Here.|mp3/0175-Chapter_3-3.3-3.3.4-000612.mp3
